company,date,payment_type,study,PI,payment
Pfizer Inc.,2017-02-27,Cash or cash equivalent,DIFFERENTIAL EFFECTS OF CEE AND ESTRADIOL ON BENIGN AND MALIGNANT BREAST RATIONALE WHY CEEBZA IS MOST EFFECTIVE TSEC,335990,46633
SANOFI-AVENTIS U.S. LLC,2017-02-27,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,300
Novo Nordisk AS,2017-02-28,Cash or cash equivalent,NN2211-3659,684755,2588
Abbott Laboratories,2017-03-02,Cash or cash equivalent,SCORE,25612,750
Abbott Laboratories,2017-03-03,Cash or cash equivalent,Pivotal Study: A Study of the Evalve Cardiovascular Valve Repair System - Endovascular Valve Edge-to-Edge Repair Study (EVERESTIIRCT),217198,2430
"Genentech, Inc.",2017-03-03,Cash or cash equivalent,AVENUE,250079,20990
NOVARTIS PHARMACEUTICALS CORPORATION,2017-03-04,Cash or cash equivalent,AN EVALUATION OF TREATMENT WITH XOLAIROMALIZUMAB TO IMPROVE THE ASTHMATIC RESPONSE TO AN EXPERIMENTAL INFECTION WITH RHINOVIRUS,258995,4604
Boston Scientific Corporation,2017-03-06,Cash or cash equivalent,S ICD PAS,187930,1562.5
Boston Scientific Corporation,2017-03-06,Cash or cash equivalent,S ICD PAS,187930,1085
F. Hoffmann-La Roche AG,2017-03-08,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,953.78
"Siemens Medical Solutions USA, Inc.",2017-03-08,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,5243.75
"Siemens Medical Solutions USA, Inc.",2017-03-08,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,5081.25
Daiichi Sankyo Company LTD,2017-03-10,Cash or cash equivalent,NA,594334,5e5
F. Hoffmann-La Roche AG,2017-03-10,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,34024.86
Celgene Corporation,2017-03-13,Cash or cash equivalent,CC-5013-MCL-001,57874,8743
"Varian Medical Systems, Inc.",2017-03-13,Cash or cash equivalent,Real-time delivery with EPID -U.V.,NA,7e4
"Genentech, Inc.",2017-03-14,Cash or cash equivalent,POC FOR RO6867461 IN DME,250079,30514
"AbbVie, Inc.",2017-03-16,Cash or cash equivalent,M14-011,760719,1950.32
"Arthrex, Inc.",2017-03-16,Cash or cash equivalent,RCT of inlay vs. only biceps tenodesis,112215,6500
Sunovion Pharmaceuticals Inc.,2017-03-16,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,7.89
"Takeda Development Center Americas, Inc.",2017-03-16,Cash or cash equivalent,"A prospective, observational, cohort safety study of vedolizumab for imflammatory disease",594186,6e3
"AbbVie, Inc.",2017-03-20,Cash or cash equivalent,M14-327,594186,3748.75
"Actelion Pharmaceuticals US, Inc.",2017-03-20,Cash or cash equivalent,QUERI ACHD - AC-052433 USA,475119,1400
AstraZeneca Pharmaceuticals LP,2017-03-20,Cash or cash equivalent,Randomized Placebo-controlled single Blind Trial to determine the Safety and Efficacy of Ticagrelor for Maintaining  Patency of Arterio-Venous Fistulae Created for Hemodialysis,368063,23800
SANOFI-AVENTIS U.S. LLC,2017-03-20,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,900
"Genentech, Inc.",2017-03-21,Cash or cash equivalent,ATEZOLIZUMAB IN MUSCLE INVASIVE BLADDER CANCER MIBC,266016,8830.8
Cook Research Incorporated,2017-03-22,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,100
"E.R. Squibb & Sons, L.L.C.",2017-03-22,Cash or cash equivalent,Evaluation of the Benefits and Risks in Maintenance Renal Transplant Recipients Following Conversion to Nulojix Belatacept Based Immunosuppression,696729,145266.73
"E.R. Squibb & Sons, L.L.C.",2017-03-22,Cash or cash equivalent,Phase IIIB Dose Comparison N3 I1 vs I3 N1 in melanoma,812566,20598.51
"Roche Diagnostics Operations, Inc.",2017-03-23,Cash or cash equivalent,RD002446,408254,14443
"Janssen Research & Development, LLC",2017-03-24,Cash or cash equivalent,"A Phase 3b, Multicenter, Open-label, PCI-32765 (Ibrutinib) Long-term Extension Study",129137,15512.25
Pfizer Inc.,2017-03-27,Cash or cash equivalent,SPRITES  SERTRALINE PEDIATRIC REGISTRY FOR THE EVALUATION OF SAFETY A NONINTERVENTIONAL LONGITUDINAL COHORT STUDY TO EVALUATE THE EFFECTS OF LONGTERM SERTRALINE TREATMENT IN CHILDREN AND ADOLESCENTS,81927,500
"TESARO, Inc.",2017-03-27,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,12480
"TESARO, Inc.",2017-03-27,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,35400
"W. L. Gore & Associates, Inc.",2017-03-28,Cash or cash equivalent,GORE HELEX  Septal Occluder / GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging-Confirmed TIA in Patients with Patent Foramen Ovale (PFO),220413,4125
F. Hoffmann-La Roche AG,2017-03-29,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,5999.91
Pfizer Inc.,2017-03-29,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,71722.62
Abbott Laboratories,2017-03-30,Cash or cash equivalent,ADVANCE ASO,217198,3e3
Abbott Laboratories,2017-03-30,Cash or cash equivalent,ADVANCE ASO,217198,2500
"Ceterix Orthopaedics, Inc.",2017-03-31,Cash or cash equivalent,Comparative Study of the Ceterix Suture Pattern vs. the FastFix 360 for Meniscus Tears,955960,3040
CorMatrix Cardiovascular Inc.,2017-03-31,Cash or cash equivalent,Perform,312047,7105.65
"W. L. Gore & Associates, Inc.",2017-03-31,Cash or cash equivalent,Evaluation of the Conformable GORE TAG Thoracic Endoprosthesis for Treatment of Acute Complicated Type B Aortic Dissection,147662,4e3
Boston Scientific Corporation,2017-04-03,Cash or cash equivalent,S ICD PAS,187930,730
"Penumbra, Inc.",2017-04-05,Cash or cash equivalent,SMART A prospective multicenter registry assessing the embolization of neurovascular lesions using the Penumbra SMART COIL System,329114,53050
"Penumbra, Inc.",2017-04-05,Cash or cash equivalent,SMART A prospective multicenter registry assessing the embolization of neurovascular lesions using the Penumbra SMART COIL System,329114,1875
"Seattle Genetics, Inc.",2017-04-05,Cash or cash equivalent,SG0CD33A0005,206269,18497.5
Cook Research Incorporated,2017-04-06,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,4466.07
Cook Research Incorporated,2017-04-06,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,7142
"Lutonix, Inc.",2017-04-06,Cash or cash equivalent,LTX AV,296287,525
Abbott Laboratories,2017-04-10,Cash or cash equivalent,Evaluation of XIENCE PRIME Everolimus Eluting Stent System (EECSS) or XIENCE V EECSS or XIENCE Xpedition EECSS or XIENCE PRO EECSS Versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization,601536,3279
"AbbVie, Inc.",2017-04-10,Cash or cash equivalent,M13-740,594186,898
Cook Research Incorporated,2017-04-10,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,1500
"MicroVention, Inc.",2017-04-10,Cash or cash equivalent,HEAT,355275,546
"MicroVention, Inc.",2017-04-10,Cash or cash equivalent,HEAT,355275,693
BIOTRONIK INC.,2017-04-11,Cash or cash equivalent,BIOFLOW-V,601536,656.25
BIOTRONIK INC.,2017-04-11,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-04-11,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-04-11,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-04-11,Cash or cash equivalent,BIOFLOW-V,601536,281.25
Incyte Corporation,2017-04-11,Cash or cash equivalent,"A Phase 2 Pilot Trial of an Indoleamine 2, 3, dioxygenase 1 IDO1 Inhibitor INCB024360 Plus a Multipeptide Melanoma Vaccine MELITAC 12.1 in Patients with Advanced Melanoma",157351,3e4
"Aesculap Biologics, LLC",2017-04-13,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,19566
Allergan Inc.,2017-04-13,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,2398.75
Pfizer Inc.,2017-04-13,Cash or cash equivalent,MULTICENTER RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED  PHASE 3 TRIAL OF FULVESTRANT FASLODEX REGISTERED WITH OR WITHOUT  PD0332991 PALBOCICLIB  GOSERELIN IN WOMEN WITH HORMONE  RECEPTORPOSITIVE HER2NEGATIVE METASTATIC BREAST CANCER  WHOSE DISEASE PROGRESSED AFTER PRIOR ENDOCRINE THERAPY,760719,7795
"Teva Pharmaceuticals USA, Inc.",2017-04-15,Cash or cash equivalent,SD-809-C-23,322890,195
"Teva Pharmaceuticals USA, Inc.",2017-04-15,Cash or cash equivalent,SD-809-C-23,322890,195
"AbbVie, Inc.",2017-04-17,Cash or cash equivalent,A14-464,631489,50633
Eli Lilly and Company,2017-04-17,Cash or cash equivalent,A PHASE II STUDY OF THE COMBINATION OF LY3023414 AND NECITUMUMAB AFTER FIRST-LINE CHEMOTHERAPY FOR METASTATIC SQUAMOUS NON-SMALL CELL CARCINOMA OF THE LUNG,808737,23819
"W. L. Gore & Associates, Inc.",2017-04-17,Cash or cash equivalent,GORE Septal Occluder Clinical Study: A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects (ASDs),217198,1250
Pfizer Inc.,2017-04-18,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,108309.6
"Zimmer Biomet Holdings, Inc.",2017-04-18,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,19061.25
"Zimmer Biomet Holdings, Inc.",2017-04-18,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,380
Abbott Laboratories,2017-04-19,Cash or cash equivalent,TactiCath Post Approval Study,281489,1723.75
"Alexion Pharmaceuticals, Inc.",2017-04-19,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,375
Edwards Lifesciences Corporation,2017-04-19,Cash or cash equivalent,PARTNERII 2010-12,123007,40500
Cook Research Incorporated,2017-04-21,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,1500
"Janssen Research & Development, LLC",2017-04-21,Cash or cash equivalent,A Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Adult Participants With Treatment-resistant Depression,322890,5e3
SANOFI-AVENTIS U.S. LLC,2017-04-24,Cash or cash equivalent,NA,1043167,830
"AbbVie, Inc.",2017-04-25,Cash or cash equivalent,M14-327,594186,1226.25
Eli Lilly and Company,2017-04-25,In-kind items and services,"A PHASE 2 STUDY OF ABEMACICLIB IN PATIENTS WITH BRAIN METASTASES SECONDARY TO HORMONE RECEPTOR POSITIVE BREAST CANCER, NON-SMALL CELL LUNG CANCER, OR MELANOMA",760719,75
"E.R. Squibb & Sons, L.L.C.",2017-04-25,Cash or cash equivalent,Phase III Multiple Myeloma 3L Combo nivo elo,1356541,15125
Novo Nordisk Inc,2017-04-25,Cash or cash equivalent,Efficacy of inControl Advice: A Decision Support System (DSS) for Diabetes,NA,198445.8
SANOFI US SERVICES INC.,2017-04-25,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,114.46
"Zimmer Biomet Holdings, Inc.",2017-04-25,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,5687.5
Abbott Laboratories,2017-04-26,Cash or cash equivalent,Cardiovascular Outcomes Assessment of the MitraClip Percutaneous Therapy for Heart Failure Patients With Functional Mitral Regurgitation (The COAPT Trial),217198,8175
Abbott Laboratories,2017-04-26,Cash or cash equivalent,ADVANCE ASO,217198,4958
Abbott Laboratories,2017-04-26,Cash or cash equivalent,SCORE,25612,390.63
CorMatrix Cardiovascular Inc.,2017-05-01,Cash or cash equivalent,Carotid Registry,188640,4318
Sorin Group USA Inc.,2017-05-02,Cash or cash equivalent,Mitroflow DL PAS TMT001 - University of Virginia Site,188640,6700
"Takeda Development Center Americas, Inc.",2017-05-02,Cash or cash equivalent,"A Randomized, Double-Blind, Parallel Group, Placebo- and Active-Controlled, Phase 4 Study Evaluating the Effect of Vortioxetine 10 and 20 mg-Day vs Paroxetine 20 mg-Day on Sexual Functioning in Healthy Subjects",322890,4777
Abbott Laboratories,2017-05-09,Cash or cash equivalent,Pivotal Study: A Study of the Evalve Cardiovascular Valve Repair System - Endovascular Valve Edge-to-Edge Repair Study (EVERESTIIRCT),288649,3240
Merck Sharp & Dohme Corporation,2017-05-09,In-kind items and services,A phase II trial of concurrent chemoradiation with consolidation MK-3475 for the treatment of inoperable or unresectable stage III non-small cell lung cancer NSCLC LUN14-179,285695,29940.96
Vertex Pharmaceuticals Incorporated,2017-05-09,Cash or cash equivalent,A Phase 3 Rollover Study of Lumacaftor in Combination With Ivacaftor in Subjects 12 Years and Older With Cystic Fibrosis,826949,356.25
"Genentech, Inc.",2017-05-11,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,9593.75
Boston Scientific Corporation,2017-05-15,Cash or cash equivalent,CAP2,217198,562.5
Boston Scientific Corporation,2017-05-15,Cash or cash equivalent,S ICD PAS,187930,365
Merck Sharp & Dohme Corporation,2017-05-15,In-kind items and services,"A TRIAL TO EVALUATE THE SAFETY, IMMUNOGENICITY, AND CLINICAL ACTIVITY OF A HELPER PEPTIDE VACCINE PLUS PD-1 BLOCKADE",157351,29940.96
Valeant Pharmaceuticals North America LLC,2017-05-15,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,185
NOVARTIS PHARMACEUTICALS CORPORATION,2017-05-17,Cash or cash equivalent,A RANDOMIZED DOUBLE BLIND DOUBLE DUMMY PARALLEL GROUP STUDY COMPARING THE EFFICACY AND SAFETY OF OFATUMUMAB ADMINISTERED SUBCUTANEOUSLY VERSUS TERIFLUNOMIDE ADMINISTERED ORALLY IN PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS,74842,8271.58
"Actelion Pharmaceuticals US, Inc.",2017-05-19,Cash or cash equivalent,OPUS - AC-055-503,199176,5650
Novocure Inc.,2017-05-23,Cash or cash equivalent,"EF-14  A Prospective, Multi-Center Trial of NovoTTF-100A Together with Temozolomide Compared to Temozolomide Alone in Patients with newly Diagnosed GBM",279608,3050
Cook Research Incorporated,2017-05-24,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,312047,3100
SANOFI-AVENTIS U.S. LLC,2017-05-24,Cash or cash equivalent,NA,1043167,2230
Cook Research Incorporated,2017-05-25,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,3350
Eli Lilly and Company,2017-05-25,In-kind items and services,A PHASE 2 MULTICENTER RANDOMIZED PARALLEL-ARM PLACEBO-CONTROLLED STUDY OF LY3074828 IN SUBJECTS WITH ACTIVE CROHNS DISEASE (SERENITY),159516,37.5
"Genentech, Inc.",2017-05-25,Cash or cash equivalent,AVENUE,250079,12295
"AbbVie, Inc.",2017-05-30,Cash or cash equivalent,M14-327,594186,1226.25
Pfizer Inc.,2017-05-31,Cash or cash equivalent,A RANDOMIZED OPENLABEL MULTICENTER PHASE 3 STUDY TO EVALUATE THE EFFICACY AND SAFETY OF AVELUMAB MSB0010718C IN COMBINATION WITH ANDOR FOLLOWING CHEMOTHERAPY IN PATIENTS WITH PREVIOUSLY UNTREATED EPITHELIAL OVARIAN CANCER  JAVELIN OVARIAN 100,945020,19950
Edwards Lifesciences Corporation,2017-06-02,Cash or cash equivalent,PARTNERII 2010-12,123007,18250
"Roche Diagnostics Operations, Inc.",2017-06-06,Cash or cash equivalent,RD002446,408254,3975
"Seattle Genetics, Inc.",2017-06-06,Cash or cash equivalent,SG0350014,366054,1250
"Siemens Medical Solutions USA, Inc.",2017-06-06,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,7912.5
Sorin Group USA Inc.,2017-06-07,Cash or cash equivalent,Perceval S Sutureless Heart Valve Study TPS002,729525,41725
"TESARO, Inc.",2017-06-08,Cash or cash equivalent,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,14187.5
Eli Lilly and Company,2017-06-12,Cash or cash equivalent,"A DOUBLE-BLINDED, PLACEBO-CONTROLLED, RANDOMIZED PHASE II STUDY OF ENZALUTAMIDE WITH OR WITHOUT THE PI3 KINASE-MTOR INHIBITOR LY3023414 IN MEN WITH METASTATIC CASTRATION RESISTANT PROSTATE CANCER",266016,1250
"Genentech, Inc.",2017-06-12,Cash or cash equivalent,AVENUE,250079,6876
"Rivanna Medical, LLC",2017-06-12,Cash or cash equivalent,MD-ANES Low-Cost Handheld Medical Device for Neuroaxial Anesthesia Guidance in the Obese,NA,79115
"W. L. Gore & Associates, Inc.",2017-06-13,Cash or cash equivalent,GORE Septal Occluder Clinical Study: A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects (ASDs),217198,4312.5
Allergan Inc.,2017-06-15,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,931
"Exactech, Inc.",2017-06-15,Cash or cash equivalent,A Prospective Multi-center Data Collection to Assess the Exactech Guided Personalized Surgery eGPS in Total Knee Arthroplasty,233499,10812.5
"Exactech, Inc.",2017-06-15,Cash or cash equivalent,A Prospective Multi-center Data Collection to Assess the Exactech Guided Personalized Surgery eGPS in Total Knee Arthroplasty,233499,26718.75
"Exactech, Inc.",2017-06-15,Cash or cash equivalent,A Prospective Multi-center Data Collection to Assess the Exactech Guided Personalized Surgery eGPS in Total Knee Arthroplasty,233499,5125
"Intercept Pharmaceuticals, Inc.",2017-06-16,Cash or cash equivalent,303,62826,1500
Boston Scientific Corporation,2017-06-19,Cash or cash equivalent,S ICD PAS,187930,825
GENZYME CORPORATION,2017-06-20,Cash or cash equivalent,Q1 2017 Gaucher LSD Registry,NA,325
GENZYME CORPORATION,2017-06-20,Cash or cash equivalent,Q1 2017 Fabry LSD Registry,NA,150
Vertex Pharmaceuticals Incorporated,2017-06-20,Cash or cash equivalent,A Study of VX-445 in Healthy Subjects and Subjects With Cystic Fibrosis,826949,10091
AstraZeneca Pharmaceuticals LP,2017-06-21,Cash or cash equivalent,ASPENAZThe Rector and Visitors of the University of Virginia Alexander L. Klibanovno. unique identifier since PhD 708501,NA,1e4
Edwards Lifesciences Corporation,2017-06-21,Cash or cash equivalent,PARTNER3 2015-08,213301,11958.74
"Genentech, Inc.",2017-06-21,Cash or cash equivalent,ATEZOLIZUMAB IN MUSCLE INVASIVE BLADDER CANCER MIBC,266016,11038.5
Edwards Lifesciences Corporation,2017-06-23,Cash or cash equivalent,COMPASSION S3 2015-01,217198,9886.5
"Intercept Pharmaceuticals, Inc.",2017-06-23,Cash or cash equivalent,303,62826,6533.1
"AbbVie, Inc.",2017-06-26,Cash or cash equivalent,M14-327,594186,1e3
SANOFI-AVENTIS U.S. LLC,2017-06-26,Cash or cash equivalent,NA,1043167,700
"Genentech, Inc.",2017-06-27,Cash or cash equivalent,POC FOR RO6867461 IN DME,250079,8500
Phadia US Inc.,2017-06-27,In-kind items and services,"Investigation of IgG4 and IgE Antibodies to the component proteins of Milk, Other Foods and inhalants associated with EoE",210401,82294
"Acorda Therapeutics, Inc",2017-06-28,Cash or cash equivalent,TOZ-CL06,1134319,13945
Cook Research Incorporated,2017-06-28,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,700
Cook Research Incorporated,2017-06-28,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,300280,50
"MicroVention, Inc.",2017-06-28,Cash or cash equivalent,HEAT,355275,2772
Cook Research Incorporated,2017-06-29,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,5578
Cook Research Incorporated,2017-06-29,Cash or cash equivalent,Cook IVC Filter Post-Market Study,300280,2930.63
"Aziyo Biologics, Inc.",2017-06-30,Cash or cash equivalent,Perform,312047,762
Boston Scientific Corporation,2017-07-03,Cash or cash equivalent,ASAP TOO,217198,6500
"Intercept Pharmaceuticals, Inc.",2017-07-03,Cash or cash equivalent,303,62826,5913.1
"AbbVie, Inc.",2017-07-05,Cash or cash equivalent,M14-011,760719,2437.9
"Aesculap Biologics, LLC",2017-07-07,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,2828
"Arthrex, Inc.",2017-07-07,Cash or cash equivalent,RCT of inlay vs. only biceps tenodesis,112215,375
"Janssen Research & Development, LLC",2017-07-07,Cash or cash equivalent,"A Phase 3b, Multicenter, Open-label, PCI-32765 (Ibrutinib) Long-term Extension Study",129137,2775
"Medical Device Business Services, Inc.",2017-07-12,Cash or cash equivalent,A Pivotal Study Comparing Two Injections of MONOVISC to Two Injections of Saline in Patients with Osteoarthritis of the Hip,250357,625
Abbott Laboratories,2017-07-13,Cash or cash equivalent,Cardiovascular Outcomes Assessment of the MitraClip Percutaneous Therapy for Heart Failure Patients With Functional Mitral Regurgitation (The COAPT Trial),217198,6150
Merck Sharp & Dohme Corporation,2017-07-13,In-kind items and services,"A Multicenter, Randomized, Controlled, Three-Arm, Phase III Study to Evaluate the Safety and Efficacy of Two Dosing Schedules of MK-3475 Compared to Ipilimumab in Patients with Advanced Melanoma",472725,17.86
Boston Scientific Corporation,2017-07-17,Cash or cash equivalent,S ICD PAS,187930,1125
Boston Scientific Corporation,2017-07-17,Cash or cash equivalent,S ICD PAS,187930,365
"E.R. Squibb & Sons, L.L.C.",2017-07-17,Cash or cash equivalent,Phase III 1L H N Metastatic,812566,24214
Pfizer Inc.,2017-07-18,Cash or cash equivalent,PROTEIN AGGREGATION EFFECTS ON RESIN FOULING IN THE CHROMATOGRAPHIC OF MONOCLONIAL ANTIBODIES,NA,81658
"Zimmer Biomet Holdings, Inc.",2017-07-18,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,2818.75
"Zimmer Biomet Holdings, Inc.",2017-07-18,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,2818.75
"Alexion Pharmaceuticals, Inc.",2017-07-19,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,750
Pfizer Inc.,2017-07-19,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,89253.03
Abbott Laboratories,2017-07-20,Cash or cash equivalent,Evaluation of XIENCE PRIME Everolimus Eluting Stent System (EECSS) or XIENCE V EECSS or XIENCE Xpedition EECSS or XIENCE PRO EECSS Versus Coronary Artery Bypass Surgery for Effectiveness of Left Main Revascularization,601536,2217
"AbbVie, Inc.",2017-07-20,Cash or cash equivalent,P12-792,826949,236.84
"Actelion Pharmaceuticals US, Inc.",2017-07-21,Cash or cash equivalent,OPUS - AC-055-503,199176,2400
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,35400
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,35400
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,8320
"TESARO, Inc.",2017-07-24,In-kind items and services,PHASE 12 CLINICAL STUDY OF NIRAPARIB IN COMBINATION WITH PEMBROLIZUMAB IN PATIENTS WITH ADVANCED OR METASTATIC TRIPLE-NEGATIVE BREAST CANCER AND IN PATIENTS WITH RECURRENT OVARIAN CANCER,760719,35400
Cook Research Incorporated,2017-07-25,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,312047,3e3
"AbbVie, Inc.",2017-07-26,Cash or cash equivalent,M14-327,594186,125
"E.R. Squibb & Sons, L.L.C.",2017-07-27,Cash or cash equivalent,Ph I II 1L SCLC Combo w Platinum and Etoposide,808737,7e3
"Penumbra, Inc.",2017-07-27,Cash or cash equivalent,SMART A prospective multicenter registry assessing the embolization of neurovascular lesions using the Penumbra SMART COIL System,329114,19375
