hero,comic
"RICHARDS, FRANKLIN B",FF '01
ABRAXAS,FF '01
IRON MAN,FF '01
INVISIBLE WOMAN,FF '01
NAMORITA,FF '01
NOVA III,FF '01
MARVEL GIRL II,FF '01
GROK,AA2 22
"FROST, CARMILLA",AA2 22
ABRAXAS,AA2 22
HAWK,AA2 22
SABRE,AA2 22
KILLRAVEN,AA2 22
OLD SKULL,AA2 22
MINT JULEP,AA2 22
M'SHULLA,AA2 22
M'SHULLA,AA2 23
HAWK,AA2 23
MINT JULEP,AA2 23
RATTACK,AA2 23
ABRAXAS,AA2 23
SABRE,AA2 23
GROK,AA2 23
HIGH OVERLORD,AA2 23
"FROST, CARMILLA",AA2 23
KILLRAVEN,AA2 23
OLD SKULL,AA2 23
ABRAXAS,AA2 24
HAWK,AA2 24
RATTACK,AA2 24
"FROST, CARMILLA",AA2 24
M'SHULLA,AA2 24
OLD SKULL,AA2 24
GROK,AA2 24
KILLRAVEN,AA2 24
SABRE,AA2 24
HIGH OVERLORD,AA2 24
MINT JULEP,AA2 24
HAWK,AA2 27
GROK,AA2 27
VOLCANA ASH,AA2 27
"EVE 3,031",AA2 27
OLD SKULL,AA2 27
M'SHULLA,AA2 27
KILLRAVEN,AA2 27
"ADAM 3,031",AA2 27
ATALON,AA2 27
"FROST, CARMILLA",AA2 27
HIGH OVERLORD,AA2 27
SKAR,AA2 27
"ADAM 3,031",AA2 28
MELONIE,AA2 28
FOROPULIST,AA2 28
ATALON,AA2 28
"FROST, CARMILLA",AA2 28
GROK,AA2 28
"EVE 3,031",AA2 28
HAWK,AA2 28
OLD SKULL,AA2 28
SKAR,AA2 28
VOLCANA ASH,AA2 28
M'SHULLA,AA2 28
KILLRAVEN,AA2 28
SACRIFICER,AA2 28
MELONIE,AA2 29
"FROST, CARMILLA",AA2 29
GROK,AA2 29
OLD SKULL,AA2 29
ATALON,AA2 29
SACRIFICER,AA2 29
M'SHULLA,AA2 29
"EVE 3,031",AA2 29
VOLCANA ASH,AA2 29
KILLRAVEN,AA2 29
"ADAM 3,031",AA2 29
HAWK,AA2 29
SACRIFICER,AA2 31
SKAR,AA2 31
VOLCANA ASH,AA2 31
OLD SKULL,AA2 31
"ADAM 3,031",AA2 31
M'SHULLA,AA2 31
KILLRAVEN,AA2 31
GROK,AA2 31
HAWK,AA2 31
ATALON,AA2 31
"FROST, CARMILLA",AA2 31
DEVOURER,AA2 31
"EVE 3,031",AA2 31
ABSALOM,GAM3 14
BURKE,GAM3 14
NICODEMUS II,GAM3 14
GAMBIT,GAM3 14
"MARCEAUX, BELIZE",GAM3 14
OZYMANDIAS,GAM3 14
"LEBEAU, JEAN-LUC",GAM3 14
ANGEL,GAM3 14
GIDEON,GAM3 14
SAUL,GAM3 14
CANDRA,GAM3 14
COURIER,GAM3 14
MR. SINISTER,GAM3 14
"LEBEAU, JACQUE",GAM3 14
FONTANELLE,GAM3 14
SAUL,XFOR 10
STRYFE,XFOR 10
WEAPON X II,XFOR 10
RICTOR,XFOR 10
FOREARM,XFOR 10
CANNONBALL II,XFOR 10
COPYCAT,XFOR 10
NICODEMUS II,XFOR 10
SAURON,XFOR 10
GIDEON,XFOR 10
FERAL,XFOR 10
ABSALOM,XFOR 10
"CLARKE, GENERAL JERE",XFOR 10
DEADPOOL,XFOR 10
SHATTERSTAR II,XFOR 10
SUMO,XFOR 10
THUNDERBIRD II,XFOR 10
TOLLIVER,XFOR 10
BURKE,XFOR 10
BOOMER,XFOR 10
WILDSIDE,XFOR 10
"SUMMERS, NATHAN CHRI",XFOR 10
MASQUE,XFOR 10
SHATTERSTAR II,XFOR 53
ABSALOM,XFOR 53
SUNSPOT,XFOR 53
GIDEON,XFOR 53
CALIBAN,XFOR 53
BOOMER,XFOR 53
SIRYN,XFOR 53
THUNDERBIRD II,XFOR 53
CRULE,XFOR 53
DOMINO III,XFOR 53
SAUL,XFOR 53
BLAQUESMITH,XFOR 54
SHATTERSTAR II,XFOR 54
"JONES, CHARLOTTE",XFOR 54
"SUMMERS, NATHAN CHRI",XFOR 54
MASTER MOLD II,XFOR 54
DOMINO III,XFOR 54
SIRYN,XFOR 54
BOOMER,XFOR 54
SELENE,XFOR 54
SUNSPOT,XFOR 54
ABSALOM,XFOR 54
CRULE,XFOR 54
DAREDEVIL,DD:Y 1
"NELSON, FRANKLIN FOG",DD:Y 1
FIXER,DD:Y 1
"MURDOCK, BATTLING JA",DD:Y 1
ABSORBING MAN,DD:Y 1
SLADE,DD:Y 1
"PAGE, KAREN",DD 1
SLADE,DD 1
FIXER,DD 1
"NELSON, FRANKLIN FOG",DD 1
"MURDOCK, BATTLING JA",DD 1
DAREDEVIL,DD 1
ABSORBING MAN,DD 1
BALDER [ASGARDIAN],JIM 114
THOR,JIM 114
"KINCAID, DR. JANE FO",JIM 114
"HOBBS, HARRIS",JIM 114
ABSORBING MAN,JIM 114
LOKI [ASGARDIAN],JIM 114
ODIN [ASGARDIAN],JIM 115
ABSORBING MAN,JIM 115
"KINCAID, DR. JANE FO",JIM 115
THOR,JIM 115
LOKI [ASGARDIAN],JIM 115
"HOBBS, HARRIS",JIM 115
HAWK,JIM 120
SCARLET WITCH,JIM 120
QUICKSILVER,JIM 120
"HOBBS, HARRIS",JIM 120
LOKI [ASGARDIAN],JIM 120
THOR,JIM 120
ABSORBING MAN,JIM 120
ODIN [ASGARDIAN],JIM 120
ABSORBING MAN,JIM 121
THOR,JIM 121
ODIN [ASGARDIAN],JIM 121
LOKI [ASGARDIAN],JIM 121
"KINCAID, DR. JANE FO",JIM 121
"HOBBS, HARRIS",JIM 121
BALDER [ASGARDIAN],JIM 121
LOKI [ASGARDIAN],JIM 122
THOR,JIM 122
ABSORBING MAN,JIM 122
"KINCAID, DR. JANE FO",JIM 122
ODIN [ASGARDIAN],JIM 122
"HOBBS, HARRIS",JIM 122
LOKI [ASGARDIAN],JIM 123
THOR,JIM 123
ABSORBING MAN,JIM 123
"HOBBS, HARRIS",JIM 123
ODIN [ASGARDIAN],JIM 123
HEIMDALL [ASGARDIAN],T@ 2
FANDRAL [ASGARDIAN],T@ 2
TYR,T@ 2
LOKI [ASGARDIAN],T@ 2
BALDER [ASGARDIAN],T@ 2
VOLSTAGG,T@ 2
ABSORBING MAN,T@ 2
THOR,T@ 2
DESTROYER III,T@ 2
ODIN [ASGARDIAN],T@ 2
HOGUN [ASGARDIAN],T@ 2
"TALBOT, GLENN",H2 125
ABSORBING MAN,H2 125
"ROSS, GEN. THADDEUS",H2 125
"BANNER, BETTY ROSS T",H2 125
GLOB,H2 125
HULK,H2 125
FANDRAL [ASGARDIAN],T 206
THOR,T 206
SIF,T 206
"JARVIS, EDWIN",T 206
ABSORBING MAN,T 206
LOKI [ASGARDIAN],T 206
VIZIER,T 206
HOGUN [ASGARDIAN],T 206
BALDER [ASGARDIAN],T 206
KARNILLA [ASGARDIAN],T 206
VOLSTAGG,T 206
HILDEGARDE [ASGARDIA,T 206
"WEIN, GLYNIS",T 207
"WEIN, LEN",T 207
HILDEGARDE [ASGARDIA,T 207
"ENGLEHART, STEVE",T 207
THOR,T 207
SIF,T 207
LOKI [ASGARDIAN],T 207
ABSORBING MAN,T 207
"CONWAY, GERRY",T 207
KARNILLA [ASGARDIAN],T 207
KAMO THARNN,T 235
THOR,T 235
VIZIER,T 235
ABSORBING MAN,T 235
SIF,T 235
"KINCAID, DR. JANE FO",T 235
HERCULES [GREEK GOD],T 235
ODIN [ASGARDIAN],T 236
HERCULES [GREEK GOD],T 236
"KINCAID, DR. JANE FO",T 236
THOR,T 236
ABSORBING MAN,T 236
VIZIER,T 236
SIF,T 236
"SOMMERS, APRIL",H2 208
ABSORBING MAN,H2 208
DOC SAMSON,H2 208
"ROSS, GEN. THADDEUS",H2 208
"TALBOT, GLENN",H2 208
HULK,H2 208
"WILSON, JIM",H2 208
LEADER,H2 208
"ROSS, GEN. THADDEUS",H2 209
"SOMMERS, APRIL",H2 209
LANN,H2 209
DR. DRUID,H2 209
"BANNER, BETTY ROSS T",H2 209
TYRANNUS,H2 209
ABSORBING MAN,H2 209
"QUARTERMAIN, CLAY",H2 209
HULK,H2 209
"WILSON, JIM",H2 209
PRINCE REY,H2 209
DOC SAMSON,H2 209
"TALBOT, GLENN",H2 209
LEADER,H2 209
IRON MAN,A 183
HAWK,A 183
WASP,A 183
CAPTAIN AMERICA,A 183
FALCON,A 183
BINARY,A 183
"MAXIMOFF, DJANGO",A 183
"GYRICH, HENRY PETER",A 183
VISION,A 183
REDWING,A 183
ABSORBING MAN,A 183
SCARLET WITCH,A 183
QUICKSILVER,A 183
BEAST,A 183
BEAST,A 184
"GYRICH, HENRY PETER",A 184
"JARVIS, EDWIN",A 184
ABSORBING MAN,A 184
BINARY,A 184
CAPTAIN AMERICA,A 184
FALCON,A 184
REDWING,A 184
WASP,A 184
IRON MAN,A 184
VISION,A 184
HAWK,A 184
QUICKSILVER,A 184
WASP,M/CP 160/4
ABSORBING MAN,M/CP 160/4
VISION,M/CP 160/4
BEAST,M/CP 160/4
BINARY,M/CP 160/4
ABSORBING MAN,H2 261
"BANNER, BETTY ROSS T",H2 261
HULK,H2 261
"JONES, RICHARD MILHO",H2 261
BEEFER,DAZZ 18
ABSORBING MAN,DAZZ 18
ANGEL,DAZZ 18
DAZZLER II,DAZZ 18
MARX,DAZZ 18
HUMAN TORCH,DAZZ 18
INVISIBLE WOMAN,DAZZ 18
"BLAIRE, CARTER",DAZZ 18
THING,DAZZ 18
MR. FANTASTIC,DAZZ 18
HUNCH,DAZZ 18
"BLAIRE, CARTER",DAZZ 17
ANGEL,DAZZ 17
DR. OCTOPUS,DAZZ 17
DAZZLER II,DAZZ 17
ABSORBING MAN,DAZZ 17
BEEFER,DAZZ 17
"JARVIS, EDWIN",DAZZ 19
LOCKJAW [INHUMAN],DAZZ 19
MEDUSA,DAZZ 19
ANGEL,DAZZ 19
ABSORBING MAN,DAZZ 19
DAZZLER II,DAZZ 19
BLACK BOLT,DAZZ 19
"BLAIRE, CARTER",DAZZ 19
HUMAN TORCH,M/SHSW 1
LOCKHEED,M/SHSW 1
THOR,M/SHSW 1
SPIDER-MAN,M/SHSW 1
ENCHANTRESS,M/SHSW 1
DR. OCTOPUS,M/SHSW 1
WRECKER III,M/SHSW 1
ROGUE ,M/SHSW 1
GALACTUS,M/SHSW 1
STORM,M/SHSW 1
ULTRON,M/SHSW 1
BEYONDER,M/SHSW 1
MOLECULE MAN,M/SHSW 1
CAPTAIN AMERICA,M/SHSW 1
PHARAOH RAMA-TUT,M/SHSW 1
PILEDRIVER II,M/SHSW 1
MR. FANTASTIC,M/SHSW 1
LIZARD,M/SHSW 1
WASP,M/SHSW 1
WOLVERINE,M/SHSW 1
DR. DOOM,M/SHSW 1
PROFESSOR X,M/SHSW 1
COLOSSUS II,M/SHSW 1
BULLDOZER,M/SHSW 1
HULK,M/SHSW 1
IRON MAN IV,M/SHSW 1
ABSORBING MAN,M/SHSW 1
NIGHTCRAWLER,M/SHSW 1
THING,M/SHSW 1
CYCLOPS,M/SHSW 1
SHE-HULK,M/SHSW 1
HAWK,M/SHSW 1
CAPTAIN MARVEL II,M/SHSW 1
MAGNETO,M/SHSW 1
THUNDERBALL,M/SHSW 1
CAPTAIN AMERICA,M/SHSW 2
WOLVERINE,M/SHSW 2
LIZARD,M/SHSW 2
MOLECULE MAN,M/SHSW 2
DR. DOOM,M/SHSW 2
SHE-HULK,M/SHSW 2
CAPTAIN MARVEL II,M/SHSW 2
MAGNETO,M/SHSW 2
THUNDERBALL,M/SHSW 2
ABSORBING MAN,M/SHSW 2
DR. OCTOPUS,M/SHSW 2
ENCHANTRESS,M/SHSW 2
SPIDER-MAN,M/SHSW 2
THOR,M/SHSW 2
IRON MAN IV,M/SHSW 2
NIGHTCRAWLER,M/SHSW 2
LOCKHEED,M/SHSW 2
HAWK,M/SHSW 2
WRECKER III,M/SHSW 2
CYCLOPS,M/SHSW 2
THING,M/SHSW 2
HULK,M/SHSW 2
BULLDOZER,M/SHSW 2
COLOSSUS II,M/SHSW 2
PROFESSOR X,M/SHSW 2
MR. FANTASTIC,M/SHSW 2
WASP,M/SHSW 2
PILEDRIVER II,M/SHSW 2
ULTRON,M/SHSW 2
PHARAOH RAMA-TUT,M/SHSW 2
STORM,M/SHSW 2
GALACTUS,M/SHSW 2
ROGUE ,M/SHSW 2
HUMAN TORCH,M/SHSW 2
PHARAOH RAMA-TUT,M/SHSW 3
CAPTAIN MARVEL II,M/SHSW 3
STORM,M/SHSW 3
WOLVERINE,M/SHSW 3
PILEDRIVER II,M/SHSW 3
WRECKER III,M/SHSW 3
MOLECULE MAN,M/SHSW 3
ULTRON,M/SHSW 3
WASP,M/SHSW 3
LIZARD,M/SHSW 3
HAWK,M/SHSW 3
ENCHANTRESS,M/SHSW 3
HULK,M/SHSW 3
CYCLOPS,M/SHSW 3
THUNDERBALL,M/SHSW 3
SHE-HULK,M/SHSW 3
THING,M/SHSW 3
DR. OCTOPUS,M/SHSW 3
THOR,M/SHSW 3
BULLDOZER,M/SHSW 3
COLOSSUS II,M/SHSW 3
ABSORBING MAN,M/SHSW 3
GALACTUS,M/SHSW 3
SPIDER-MAN,M/SHSW 3
TITANIA II,M/SHSW 3
NIGHTCRAWLER,M/SHSW 3
HUMAN TORCH,M/SHSW 3
PROFESSOR X,M/SHSW 3
CAPTAIN AMERICA,M/SHSW 3
IRON MAN IV,M/SHSW 3
DR. DOOM,M/SHSW 3
VOLCANA,M/SHSW 3
MAGNETO,M/SHSW 3
MR. FANTASTIC,M/SHSW 3
ROGUE ,M/SHSW 3
LORELEI II,T 383
PHARAOH RAMA-TUT,T 383
ABSORBING MAN,T 383
BULLDOZER,T 383
DR. DOOM,T 383
PILEDRIVER II,T 383
DR. OCTOPUS,T 383
THUNDERBALL,T 383
CAPTAIN AMERICA,T 383
MOLECULE MAN,T 383
ENCHANTRESS,T 383
THOR,T 383
ULTRON,T 383
WRECKER III,T 383
SHE-HULK,M/SHSW 4
CAPTAIN MARVEL II,M/SHSW 4
MAGNETO,M/SHSW 4
THUNDERBALL,M/SHSW 4
ABSORBING MAN,M/SHSW 4
TITANIA II,M/SHSW 4
IRON MAN IV,M/SHSW 4
DR. OCTOPUS,M/SHSW 4
PHARAOH RAMA-TUT,M/SHSW 4
VOLCANA,M/SHSW 4
ENCHANTRESS,M/SHSW 4
MOLECULE MAN,M/SHSW 4
STORM,M/SHSW 4
WOLVERINE,M/SHSW 4
PILEDRIVER II,M/SHSW 4
COLOSSUS II,M/SHSW 4
ULTRON,M/SHSW 4
HUMAN TORCH,M/SHSW 4
WRECKER III,M/SHSW 4
PROFESSOR X,M/SHSW 4
CYCLOPS,M/SHSW 4
LIZARD,M/SHSW 4
GALACTUS,M/SHSW 4
WASP,M/SHSW 4
NIGHTCRAWLER,M/SHSW 4
THING,M/SHSW 4
HAWK,M/SHSW 4
DR. DOOM,M/SHSW 4
THOR,M/SHSW 4
HULK,M/SHSW 4
ROGUE ,M/SHSW 4
BULLDOZER,M/SHSW 4
CAPTAIN AMERICA,M/SHSW 4
SPIDER-MAN,M/SHSW 4
MR. FANTASTIC,M/SHSW 4
HUMAN TORCH,M/SHSW 5
WOLVERINE,M/SHSW 5
THOR,M/SHSW 5
CYCLOPS,M/SHSW 5
NIGHTCRAWLER,M/SHSW 5
HAWK,M/SHSW 5
HULK,M/SHSW 5
ROGUE ,M/SHSW 5
SHE-HULK,M/SHSW 5
THING,M/SHSW 5
ENCHANTRESS,M/SHSW 5
CAPTAIN MARVEL II,M/SHSW 5
COLOSSUS II,M/SHSW 5
DR. DOOM,M/SHSW 5
TITANIA II,M/SHSW 5
SPIDER-MAN,M/SHSW 5
PROFESSOR X,M/SHSW 5
MR. FANTASTIC,M/SHSW 5
IRON MAN IV,M/SHSW 5
BULLDOZER,M/SHSW 5
MOLECULE MAN,M/SHSW 5
PILEDRIVER II,M/SHSW 5
WRECKER III,M/SHSW 5
CAPTAIN AMERICA,M/SHSW 5
ULTRON,M/SHSW 5
STORM,M/SHSW 5
GALACTUS,M/SHSW 5
VOLCANA,M/SHSW 5
MAGNETO,M/SHSW 5
LIZARD,M/SHSW 5
THUNDERBALL,M/SHSW 5
ABSORBING MAN,M/SHSW 5
DR. OCTOPUS,M/SHSW 5
PILEDRIVER II,M/SHSW 6
WOLVERINE,M/SHSW 6
BULLDOZER,M/SHSW 6
HULK,M/SHSW 6
MOLECULE MAN,M/SHSW 6
ENCHANTRESS,M/SHSW 6
PROFESSOR X,M/SHSW 6
TITANIA II,M/SHSW 6
SPIDER-WOMAN II,M/SHSW 6
DR. DOOM,M/SHSW 6
KLAW,M/SHSW 6
VOLCANA,M/SHSW 6
CAPTAIN MARVEL II,M/SHSW 6
LIZARD,M/SHSW 6
COLOSSUS II,M/SHSW 6
MAGNETO,M/SHSW 6
THING,M/SHSW 6
ROGUE ,M/SHSW 6
THOR,M/SHSW 6
MR. FANTASTIC,M/SHSW 6
SHE-HULK,M/SHSW 6
DR. OCTOPUS,M/SHSW 6
CYCLOPS,M/SHSW 6
ABSORBING MAN,M/SHSW 6
HAWK,M/SHSW 6
IRON MAN IV,M/SHSW 6
THUNDERBALL,M/SHSW 6
WASP,M/SHSW 6
WRECKER III,M/SHSW 6
SPIDER-MAN,M/SHSW 6
CAPTAIN AMERICA,M/SHSW 6
GALACTUS,M/SHSW 6
STORM,M/SHSW 6
ULTRON,M/SHSW 6
HUMAN TORCH,M/SHSW 6
HULK,M/SHSW 7
ENCHANTRESS,M/SHSW 7
SHE-HULK,M/SHSW 7
IRON MAN IV,M/SHSW 7
ABSORBING MAN,M/SHSW 7
THUNDERBALL,M/SHSW 7
CYCLOPS,M/SHSW 7
SPIDER-WOMAN II,M/SHSW 7
MR. FANTASTIC,M/SHSW 7
WOLVERINE,M/SHSW 7
CAPTAIN AMERICA,M/SHSW 7
ROGUE ,M/SHSW 7
GALACTUS,M/SHSW 7
HUMAN TORCH,M/SHSW 7
ULTRON,M/SHSW 7
STORM,M/SHSW 7
WASP,M/SHSW 7
SPIDER-MAN,M/SHSW 7
BULLDOZER,M/SHSW 7
PILEDRIVER II,M/SHSW 7
PROFESSOR X,M/SHSW 7
TITANIA II,M/SHSW 7
COLOSSUS II,M/SHSW 7
THING,M/SHSW 7
LIZARD,M/SHSW 7
HAWK,M/SHSW 7
KLAW,M/SHSW 7
VOLCANA,M/SHSW 7
THOR,M/SHSW 7
DR. OCTOPUS,M/SHSW 7
NIGHTCRAWLER,M/SHSW 7
WRECKER III,M/SHSW 7
MAGNETO,M/SHSW 7
CAPTAIN MARVEL II,M/SHSW 7
DR. DOOM,M/SHSW 7
MOLECULE MAN,M/SHSW 7
GALACTUS,M/SHSW 8
SPIDER-MAN,M/SHSW 8
LIZARD,M/SHSW 8
ROGUE ,M/SHSW 8
THUNDERBALL,M/SHSW 8
ABSORBING MAN,M/SHSW 8
HAWK,M/SHSW 8
IRON MAN IV,M/SHSW 8
DR. OCTOPUS,M/SHSW 8
NIGHTCRAWLER,M/SHSW 8
VOLCANA,M/SHSW 8
THING,M/SHSW 8
CYCLOPS,M/SHSW 8
COLOSSUS II,M/SHSW 8
CAPTAIN AMERICA,M/SHSW 8
HULK,M/SHSW 8
MAGNETO,M/SHSW 8
TITANIA II,M/SHSW 8
KLAW,M/SHSW 8
SPIDER-WOMAN II,M/SHSW 8
MR. FANTASTIC,M/SHSW 8
PROFESSOR X,M/SHSW 8
PILEDRIVER II,M/SHSW 8
THOR,M/SHSW 8
SHE-HULK,M/SHSW 8
BULLDOZER,M/SHSW 8
CAPTAIN MARVEL II,M/SHSW 8
WRECKER III,M/SHSW 8
DR. DOOM,M/SHSW 8
ENCHANTRESS,M/SHSW 8
STORM,M/SHSW 8
WASP,M/SHSW 8
ULTRON,M/SHSW 8
HUMAN TORCH,M/SHSW 8
MOLECULE MAN,M/SHSW 8
THOR,M/SHSW 9
ABSORBING MAN,M/SHSW 9
KLAW,M/SHSW 9
CAPTAIN AMERICA,M/SHSW 9
ROGUE ,M/SHSW 9
SPIDER-MAN,M/SHSW 9
INVISIBLE WOMAN,M/SHSW 9
GALACTUS,M/SHSW 9
CYCLOPS,M/SHSW 9
WASP,M/SHSW 9
DR. DOOM,M/SHSW 9
STORM,M/SHSW 9
HUMAN TORCH,M/SHSW 9
CAPTAIN MARVEL II,M/SHSW 9
WOLVERINE,M/SHSW 9
PROFESSOR X,M/SHSW 9
SPIDER-WOMAN II,M/SHSW 9
MR. FANTASTIC,M/SHSW 9
MAGNETO,M/SHSW 9
IRON MAN IV,M/SHSW 9
LIZARD,M/SHSW 9
"RICHARDS, FRANKLIN B",M/SHSW 9
COLOSSUS II,M/SHSW 9
NIGHTCRAWLER,M/SHSW 9
HULK,M/SHSW 9
THING,M/SHSW 9
HAWK,M/SHSW 9
DR. OCTOPUS,M/SHSW 9
GALACTUS,M/SHSW 10
THOR,M/SHSW 10
WRECKER III,M/SHSW 10
SHE-HULK,M/SHSW 10
CYCLOPS,M/SHSW 10
WASP,M/SHSW 10
HAWK,M/SHSW 10
THING,M/SHSW 10
BEYONDER,M/SHSW 10
COLOSSUS II,M/SHSW 10
HULK,M/SHSW 10
NIGHTCRAWLER,M/SHSW 10
MAGNETO,M/SHSW 10
WOLVERINE,M/SHSW 10
KLAW,M/SHSW 10
SPIDER-MAN,M/SHSW 10
ROGUE ,M/SHSW 10
LIZARD,M/SHSW 10
MR. FANTASTIC,M/SHSW 10
THUNDERBALL,M/SHSW 10
CAPTAIN AMERICA,M/SHSW 10
PILEDRIVER II,M/SHSW 10
SPIDER-WOMAN II,M/SHSW 10
PROFESSOR X,M/SHSW 10
CAPTAIN MARVEL II,M/SHSW 10
HUMAN TORCH,M/SHSW 10
IRON MAN IV,M/SHSW 10
STORM,M/SHSW 10
DR. DOOM,M/SHSW 10
ABSORBING MAN,M/SHSW 10
WOLVERINE,M/SHSW 11
SPIDER-MAN,M/SHSW 11
PHARAOH RAMA-TUT,M/SHSW 11
LIZARD,M/SHSW 11
GALACTUS,M/SHSW 11
DR. OCTOPUS,M/SHSW 11
IRON MAN IV,M/SHSW 11
MOLECULE MAN,M/SHSW 11
WASP,M/SHSW 11
WRECKER III,M/SHSW 11
SHE-HULK,M/SHSW 11
DR. DOOM,M/SHSW 11
THUNDERBALL,M/SHSW 11
STORM,M/SHSW 11
HUMAN TORCH,M/SHSW 11
SPIDER-WOMAN II,M/SHSW 11
CAPTAIN MARVEL II,M/SHSW 11
PROFESSOR X,M/SHSW 11
ENCHANTRESS,M/SHSW 11
BULLDOZER,M/SHSW 11
CAPTAIN AMERICA,M/SHSW 11
PILEDRIVER II,M/SHSW 11
MR. FANTASTIC,M/SHSW 11
TITANIA II,M/SHSW 11
ABSORBING MAN,M/SHSW 11
MAGNETO,M/SHSW 11
THOR,M/SHSW 11
NIGHTCRAWLER,M/SHSW 11
THING,M/SHSW 11
COLOSSUS II,M/SHSW 11
HULK,M/SHSW 11
VOLCANA,M/SHSW 11
CYCLOPS,M/SHSW 11
HAWK,M/SHSW 11
KLAW,M/SHSW 11
ROGUE ,M/SHSW 11
DR. OCTOPUS,M/SHSW 12
GALACTUS,M/SHSW 12
MOLECULE MAN,M/SHSW 12
IRON MAN IV,M/SHSW 12
LOCKHEED,M/SHSW 12
KLAW,M/SHSW 12
CYCLOPS,M/SHSW 12
HAWK,M/SHSW 12
ROGUE ,M/SHSW 12
HULK,M/SHSW 12
COLOSSUS II,M/SHSW 12
ENCHANTRESS,M/SHSW 12
THING,M/SHSW 12
THUNDERBALL,M/SHSW 12
MAGNETO,M/SHSW 12
SHE-HULK,M/SHSW 12
WRECKER III,M/SHSW 12
ULTRON,M/SHSW 12
TITANIA II,M/SHSW 12
WASP,M/SHSW 12
MR. FANTASTIC,M/SHSW 12
THOR,M/SHSW 12
WOLVERINE,M/SHSW 12
PILEDRIVER II,M/SHSW 12
NIGHTCRAWLER,M/SHSW 12
ABSORBING MAN,M/SHSW 12
VOLCANA,M/SHSW 12
SPIDER-MAN,M/SHSW 12
CAPTAIN AMERICA,M/SHSW 12
BULLDOZER,M/SHSW 12
PROFESSOR X,M/SHSW 12
CAPTAIN MARVEL II,M/SHSW 12
HUMAN TORCH,M/SHSW 12
LIZARD,M/SHSW 12
STORM,M/SHSW 12
SPIDER-WOMAN II,M/SHSW 12
BEYONDER,M/SHSW 12
DR. DOOM,M/SHSW 12
HERCULES [GREEK GOD],A 270
CAPTAIN AMERICA,A 270
SUB-MARINER,A 270
CAPTAIN MARVEL II,A 270
BYRRAH [ATLANTEAN],A 270
WASP,A 270
TITANIA II,A 270
"FREEMAN, DEREK",A 270
"JARVIS, EDWIN",A 270
MOONSTONE II,A 270
BLACK KNIGHT V,A 270
ABSORBING MAN,A 270
TITANIA II,A 273
PILEDRIVER II,A 273
ABSORBING MAN,A 273
POWER MAN,A 273
BLACKOUT,A 273
HERCULES [GREEK GOD],A 273
"JARVIS, EDWIN",A 273
MOONSTONE II,A 273
WRECKER III,A 273
THUNDERBALL,A 273
YELLOWJACKET II,A 273
FIXER II,A 273
MISTER HYDE,A 273
BLACK KNIGHT V,A 273
PALADIN,A 273
TIGER SHARK,A 273
CAPTAIN MARVEL II,A 273
WASP,A 273
BULLDOZER,A 273
HOBGOBLIN II,ASM 283
TITANIA II,ASM 283
"THOMPSON, EUGENE FLA",ASM 283
"LEEDS, BETTY BRANT",ASM 283
WASP,ASM 283
"BANNON, LANCE",ASM 283
FOREIGNER,ASM 283
"CUSHING, KATE",ASM 283
MONGOOSE,ASM 283
"ROBERTSON, JOE",ASM 283
"WATSON-PARKER, MARY",ASM 283
"KINGSLEY, DANIEL",ASM 283
ABSORBING MAN,ASM 283
SPIDER-MAN,ASM 283
MISTER HYDE,A 274
CAPTAIN MARVEL II,A 274
FIXER II,A 274
CITIZEN V II,A 274
MOONSTONE II,A 274
YELLOWJACKET II,A 274
PILEDRIVER II,A 274
THUNDERBALL,A 274
"JARVIS, EDWIN",A 274
CAPTAIN AMERICA,A 274
BLACKOUT,A 274
BLACK MAMBA,A 274
HERCULES [GREEK GOD],A 274
TIGER SHARK,A 274
BULLDOZER,A 274
BLACK KNIGHT V,A 274
WASP,A 274
ABSORBING MAN,A 274
POWER MAN,A 274
WRECKER III,A 274
TITANIA II,A 275
HERCULES [GREEK GOD],A 275
WRECKER III,A 275
BULLDOZER,A 275
YELLOWJACKET II,A 275
BLACKOUT,A 275
ABSORBING MAN,A 275
CITIZEN V II,A 275
THUNDERBALL,A 275
FIXER II,A 275
"JARVIS, EDWIN",A 275
ANT-MAN II,A 275
CAPTAIN AMERICA,A 275
MOONSTONE II,A 275
POWER MAN,A 275
BLACK KNIGHT V,A 275
WASP,A 275
PILEDRIVER II,A 275
CAPTAIN MARVEL II,A 275
MISTER HYDE,A 275
HOGUN [ASGARDIAN],T 375
BALDER [ASGARDIAN],T 375
LOKI [ASGARDIAN],T 375
THOR,T 375
HILDY [ASGARDIAN],T 375
HEIMDALL [ASGARDIAN],T 375
IRON MAN,T 375
FANDRAL [ASGARDIAN],T 375
FRIGGA,T 375
ABSORBING MAN,T 375
HELA [ASGARDIAN],T 375
ENCHANTRESS,T 375
HOGUN [ASGARDIAN],T 376
LOKI [ASGARDIAN],T 376
THOR,T 376
FANDRAL [ASGARDIAN],T 376
EITRI,T 376
VOLSTAGG,T 376
SIF,T 376
ENCHANTRESS,T 376
HEIMDALL [ASGARDIAN],T 376
ABSORBING MAN,T 376
HILDY [ASGARDIAN],T 376
BALDER [ASGARDIAN],T 376
HUMAN TORCH,H2 348
HULK,H2 348
ABSORBING MAN,H2 348
"BERENGHETTI, MICHAEL",H2 348
"JONES, MARLO CHANDLE",H2 348
SUZIE,H2 347
HULK,H2 347
